queue_average_reward;passed_cars_reward;pressure_reward;waiting_time_reward;noiseEmission_reward;COEmission_reward;CO2Emission_reward;fuel_reward;occupancy_reward;reward
-1;0;-7;-0.35;82.79549291;269.9983618;22361.12079;9.611863551;0.009656362;4.611863551
1;-1;-10;-0.35;-19.86685507;-331.726192;-22428.89197;-9.641071277;-0.026939655;-7.641071277
6;0;-11;1.16;-59.44341564;591.7500417;13994.87414;6.015961339;-0.013469828;36.01596134
-1;3;-6;0.66;-2.012673708;329.0237469;2867.57201;1.232837279;0.026939655;5.232837279
-2;-2;-6;-0.08;12.38824332;45.06779275;7336.781009;3.153710611;0.026939655;-12.84628939
-2;1;-5;-0.26;-4.984598981;-221.3287415;-7015.98261;-3.015891899;0;-10.0158919
-1;-2;-7;-0.3;69.15205835;-308.6185323;2017.805481;0.867098463;0;-10.13290154
-1;-1;-9;-0.31;-54.71511995;-18.2821198;3168.646813;1.362003542;-0.01416799;-6.637996458
0;0;-10;-0.35;-16.73267904;-167.8213503;-13880.06766;-5.966329577;-0.012771665;-5.966329577
0;0;-10;-0.38;18.52292702;191.5938348;10974.82718;4.717551015;0;4.717551015
-2;0;-12;-0.44;-5.363397891;-371.0544877;-4634.636329;-1.992410298;-0.026939655;-11.9924103
6;2;-8;1.15;-11.88881229;391.4048778;-4655.436339;-2.000822742;0.026939655;33.99917726
2;1;-4;0.64;83.88214181;861.112143;26966.36044;11.59183841;0.040409483;24.59183841
-2;-2;-5;0.1;-3.10262423;-75.60279804;-2635.808562;-1.133006158;0.013469828;-17.13300616
0;0;-5;-0.12;-3.615982231;-369.8966226;-2262.844051;-0.972920464;0;-0.972920464
0;-1;-6;-0.2;-13.70922251;-186.3935338;-13950.14809;-5.99651759;0;-8.99651759
-2;0;-8;-0.22;-62.12722183;27.40800527;3442.256599;1.479688241;-0.026939655;-8.520311759
-2;-2;-12;-0.32;61.77793513;-302.0711853;-6658.064897;-2.862190129;-0.039710577;-18.86219013
0;1;-14;-0.36;-0.610251058;-234.435746;-3259.514683;-1.401217019;-0.027638561;1.598782981
-2;0;-16;-0.41;-65.15833167;-278.4368848;-5496.621674;-2.362836784;-0.026939655;-12.36283678
6;3;-11;1.02;-3.318709892;587.0686196;1929.492776;0.829724119;0.026939655;39.82972412
0;3;-5;0.54;3.505572775;294.6707831;2105.43765;0.905226758;0.040409483;9.905226758
-2;-2;-4;-0.11;134.6917391;-62.6769944;8607.995476;3.700088785;0.040409483;-12.29991122
-1;-1;-6;-0.32;4.874464925;152.4026084;13238.85162;5.690703113;-0.013469828;-2.309296887
-3;-4;-13;-0.4;-131.2129758;-826.4237032;-17743.43419;-7.627443073;-0.040409483;-34.62744307
0;0;-14;-0.48;-0.248075431;-13.78229246;-5292.248483;-2.274940411;-0.013469828;-2.274940411
0;2;-12;-0.5;49.97512301;-424.5161119;-11526.80597;-4.954902769;-0.006249757;1.045097231
0;2;-13;-0.5;-59.35596703;14.90515249;6203.862061;2.666675256;-0.034159726;8.666675256
-2;-2;-17;-0.56;5.367533844;88.80191395;979.2075949;0.420936413;-0.026939655;-15.57906359
6;1;-15;1.23;0.679471921;510.1870788;7960.95616;3.422310291;0.013469828;36.42231029
3;3;-10;1.12;-18.66642693;195.6955688;-11128.43149;-4.783308278;0.026939655;19.21669172
-3;1;-7;0.43;18.85479091;166.6792589;4281.228533;1.840303905;0.026939655;-10.1596961
